,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Density Value (g / ml),Density Uncertainty (g / ml),Source
22,ca5646d784dd41d8b19c0dd73d2900f3,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.003406673360876007,,[Cl-].[Na+],Solvent,0.051100100413140094,,O,Solvent,0.9454932262259838,,1.037,0.005,,,10.1016/j.jct.2013.08.018
23,10da6e6c115e4f4b953facb2acd5fac2,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.006756492995090925,,[Cl-].[Na+],Solvent,0.050928339158976814,,O,Solvent,0.9423151678459323,,1.025,0.005,,,10.1016/j.jct.2013.08.018
24,11b5b251fec3465495b72005912f4467,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.01015085876235655,,[Cl-].[Na+],Solvent,0.05075429381178275,,O,Solvent,0.9390948474258607,,1.015,0.005,,,10.1016/j.jct.2013.08.018
25,df790bb10184417d8e3eb7a97f54bc57,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.013555367211425856,,[Cl-].[Na+],Solvent,0.050579728400842745,,O,Solvent,0.9358649043877313,,1.01,0.005,,,10.1016/j.jct.2013.08.018
26,d56227a19480438caa48b4b9aec789cf,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.016721761788146525,,[Cl-].[Na+],Solvent,0.050417372225567414,,O,Solvent,0.932860865986286,,1.004,0.005,,,10.1016/j.jct.2013.08.018
27,e23edf4bf140416a86c2d586178fe622,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.020064884440163588,,[Cl-].[Na+],Solvent,0.050245954357671756,,O,Solvent,0.9296891612021646,,1.001,0.005,,,10.1016/j.jct.2013.08.018
28,3254053c971745cd95ec07bd80610fa4,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.023385351046995004,,[Cl-].[Na+],Solvent,0.050075698173436836,,O,Solvent,0.926538950779568,,1.007,0.005,,,10.1016/j.jct.2013.08.018
29,c24d76f34021479482400faff4972cb0,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.026537644572380902,,[Cl-].[Na+],Solvent,0.049914065026421754,,O,Solvent,0.9235482904011973,,0.99,0.005,,,10.1016/j.jct.2013.08.018
30,da309be71e914fc888b7d6de4423a3d3,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.029750109276166278,,[Cl-].[Na+],Solvent,0.04974934661566267,,O,Solvent,0.920500544108171,,0.985,0.005,,,10.1016/j.jct.2013.08.018
31,21f2c9c8e8e04236ad6814433ce0cd24,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.032893486530154205,,[Cl-].[Na+],Solvent,0.04958817064847368,,O,Solvent,0.9175183428213721,,0.987,0.005,,,10.1016/j.jct.2013.08.018
32,7b136e10b158463e8ad2e6d46e5b1780,298.15,101.0,Liquid,3,NCC(=O)O,Solvent,0.036207115534530515,,[Cl-].[Na+],Solvent,0.04941826506077869,,O,Solvent,0.9143746194046908,,0.983,0.005,,,10.1016/j.jct.2013.08.018
