Id,Temperature (K),Pressure (kPa),N Components,Component 1,IUPAC1,Role 1,Mole Fraction 1,Component 2,IUPAC2,Role 2,Mole Fraction 2,Component 3,IUPAC3,Role 3,Mole Fraction 3,OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Source
aa54e978996e49e98575d3a52f4e76e5,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0375881587669962,[Cl-].[Na+],sodium;chloride,Solvent,0.0170313360974156,O,oxidane,Solvent,0.945380505135588,0.88,0.0055,10.1016/j.jct.2013.08.018
9db21f2a26d34fd982661421718dea5c,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0440355739362324,[Cl-].[Na+],sodium;chloride,Solvent,0.0169172393147262,O,oxidane,Solvent,0.9390471867490412,0.884,0.0055,10.1016/j.jct.2013.08.018
155cf7a979254adeb9c22f2d597d4d48,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.05026949938364,[Cl-].[Na+],sodium;chloride,Solvent,0.0168069205562153,O,oxidane,Solvent,0.9329235800601444,0.883,0.0055,10.1016/j.jct.2013.08.018
6c8b1a072a12461bb44dc735b30d12ed,298.15,101.0,2,[Cl-].[Na+],sodium;chloride,Solvent,0.0512747768294498,O,oxidane,Solvent,0.9487252231705502,,,,,1.051,0.005,10.1016/j.jct.2013.08.018
ca5646d784dd41d8b19c0dd73d2900f3,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.003406673360876,[Cl-].[Na+],sodium;chloride,Solvent,0.05110010041314,O,oxidane,Solvent,0.9454932262259838,1.037,0.005,10.1016/j.jct.2013.08.018
10da6e6c115e4f4b953facb2acd5fac2,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0067564929950909,[Cl-].[Na+],sodium;chloride,Solvent,0.0509283391589768,O,oxidane,Solvent,0.9423151678459324,1.025,0.005,10.1016/j.jct.2013.08.018
11b5b251fec3465495b72005912f4467,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0101508587623565,[Cl-].[Na+],sodium;chloride,Solvent,0.0507542938117827,O,oxidane,Solvent,0.9390948474258608,1.015,0.005,10.1016/j.jct.2013.08.018
df790bb10184417d8e3eb7a97f54bc57,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0135553672114258,[Cl-].[Na+],sodium;chloride,Solvent,0.0505797284008427,O,oxidane,Solvent,0.9358649043877312,1.01,0.005,10.1016/j.jct.2013.08.018
d56227a19480438caa48b4b9aec789cf,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0167217617881465,[Cl-].[Na+],sodium;chloride,Solvent,0.0504173722255674,O,oxidane,Solvent,0.932860865986286,1.004,0.005,10.1016/j.jct.2013.08.018
e23edf4bf140416a86c2d586178fe622,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0200648844401635,[Cl-].[Na+],sodium;chloride,Solvent,0.0502459543576717,O,oxidane,Solvent,0.9296891612021646,1.001,0.005,10.1016/j.jct.2013.08.018
3254053c971745cd95ec07bd80610fa4,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.023385351046995,[Cl-].[Na+],sodium;chloride,Solvent,0.0500756981734368,O,oxidane,Solvent,0.926538950779568,1.007,0.005,10.1016/j.jct.2013.08.018
c24d76f34021479482400faff4972cb0,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0265376445723809,[Cl-].[Na+],sodium;chloride,Solvent,0.0499140650264217,O,oxidane,Solvent,0.9235482904011972,0.99,0.005,10.1016/j.jct.2013.08.018
da309be71e914fc888b7d6de4423a3d3,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0297501092761662,[Cl-].[Na+],sodium;chloride,Solvent,0.0497493466156626,O,oxidane,Solvent,0.920500544108171,0.985,0.005,10.1016/j.jct.2013.08.018
21f2c9c8e8e04236ad6814433ce0cd24,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0328934865301542,[Cl-].[Na+],sodium;chloride,Solvent,0.0495881706484736,O,oxidane,Solvent,0.917518342821372,0.987,0.005,10.1016/j.jct.2013.08.018
7b136e10b158463e8ad2e6d46e5b1780,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0362071155345305,[Cl-].[Na+],sodium;chloride,Solvent,0.0494182650607786,O,oxidane,Solvent,0.9143746194046908,0.983,0.005,10.1016/j.jct.2013.08.018
b6521ea920554f0790050aaaebed6cc8,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0425004053799459,[Cl-].[Na+],sodium;chloride,Solvent,0.0490955780284319,O,oxidane,Solvent,0.908404016591622,0.973,0.005,10.1016/j.jct.2013.08.018
e7d83e9826d548158cc903acdc4eb9bc,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0487429746859696,[Cl-].[Na+],sodium;chloride,Solvent,0.0487754916804232,O,oxidane,Solvent,0.9024815336336072,0.974,0.005,10.1016/j.jct.2013.08.018
36504db66e8d417094240caa9ff34414,298.15,101.0,2,[Cl-].[K+],potassium;chloride,Solvent,0.0089272483610882,O,oxidane,Solvent,0.9910727516389116,,,,,0.905,0.0055,10.1016/j.jct.2013.08.018
3a227316d8c24080aa206e8c72e599ee,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0044437887775036,[Cl-].[K+],potassium;chloride,Solvent,0.0088875775550072,O,oxidane,Solvent,0.9866686336674892,0.909,0.0055,10.1016/j.jct.2013.08.018
f311fc73751d4022a1c376bab3a37121,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0070911550867692,[Cl-].[K+],potassium;chloride,Solvent,0.0088639438584616,O,oxidane,Solvent,0.9840449010547692,0.916,0.005,10.1016/j.jct.2013.08.018
c9ec5272c77e44a5a9d302ea7d768fd2,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0109485894044956,[Cl-].[K+],potassium;chloride,Solvent,0.0088295075842706,O,oxidane,Solvent,0.9802219030112336,0.917,0.005,10.1016/j.jct.2013.08.018
1ccbffc239b8415a96c73f1e4ff0e9b3,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0111232153059029,[Cl-].[K+],potassium;chloride,Solvent,0.0088279486554785,O,oxidane,Solvent,0.9800488360386184,0.911,0.005,10.1016/j.jct.2013.08.018
27f02c10ee134e6c8707fae07f05b739,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0111232153059029,[Cl-].[K+],potassium;chloride,Solvent,0.0088279486554785,O,oxidane,Solvent,0.9800488360386184,0.914,0.005,10.1016/j.jct.2013.08.018
d5a069456bf14cb593bbe08177668348,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0140824493412581,[Cl-].[K+],potassium;chloride,Solvent,0.0088015308382863,O,oxidane,Solvent,0.9771160198204556,0.915,0.005,10.1016/j.jct.2013.08.018
49dbf69732f64ecd8b5d0879eddd4ef3,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0209759774420318,[Cl-].[K+],potassium;chloride,Solvent,0.0087399906008465,O,oxidane,Solvent,0.9702840319571214,0.89,0.0055,10.1016/j.jct.2013.08.018
cd75e9c0907540f0afa3b76cc7a38762,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0311373974893773,[Cl-].[K+],potassium;chloride,Solvent,0.0086492770803826,O,oxidane,Solvent,0.96021332543024,0.885,0.0055,10.1016/j.jct.2013.08.018
73a36cdb4d8c494e97c2b2ca7442b953,298.15,101.0,2,[Cl-].[K+],potassium;chloride,Solvent,0.0176965155328884,O,oxidane,Solvent,0.9823034844671116,,,,,0.915,0.005,10.1016/j.jct.2013.08.018
ef0fa10a75694abcb00bffc7c1c20130,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0045800209315464,[Cl-].[K+],potassium;chloride,Solvent,0.0176154651213323,O,oxidane,Solvent,0.9778045139471212,0.902,0.0055,10.1016/j.jct.2013.08.018
324f62fdcee04b838f82ac7a757b2b54,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0087706527699556,[Cl-].[K+],potassium;chloride,Solvent,0.0175413055399113,O,oxidane,Solvent,0.973688041690133,0.896,0.0055,10.1016/j.jct.2013.08.018
71f59c780c9a4c5e831e6ce4d86a9b92,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0139595836354015,[Cl-].[K+],potassium;chloride,Solvent,0.0174494795442519,O,oxidane,Solvent,0.9685909368203466,0.906,0.0055,10.1016/j.jct.2013.08.018
6f51277e358c474f98026d7d8a2d062d,298.15,101.0,2,[Cl-].[K+],potassium;chloride,Solvent,0.0176965155328884,O,oxidane,Solvent,0.9823034844671116,,,,,0.895,0.0055,10.1016/j.jct.2013.08.018
5f9efc32e01d4403a1668ba19c366536,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0035092483987541,[Cl-].[K+],potassium;chloride,Solvent,0.0176344140640911,O,oxidane,Solvent,0.9788563375371546,0.9,0.0055,10.1016/j.jct.2013.08.018
6253cd37660d4148bb8a2bc76c65b43d,298.15,101.0,3,NCC(=O)O,2-aminoacetic acid,Solvent,0.0070114028154886,[Cl-].[K+],potassium;chloride,Solvent,0.0175724381340568,O,oxidane,Solvent,0.9754161590504544,0.896,0.0055,10.1016/j.jct.2013.08.018
