Id,Temperature (K),Pressure (kPa),N Components,Component 1,Role 1,Mole Fraction 1,Component 2,Role 2,Mole Fraction 2,OsmoticCoefficient Value (),OsmoticCoefficient Uncertainty (),Source
02992e8ce57744068a32860e510b939d,298.15,101.0,2,CO,Solvent,0.9549995044110264,CCCCn1cc[n+](C)c1.[Cl-],Solvent,0.0450004955889734,1.209,0.005,10.1016/j.jct.2011.06.018
1d9e25cec4594f319053d16852ac6a0b,298.15,101.0,2,CO,Solvent,0.9442337343964232,CCCCn1cc[n+](C)c1.[Cl-],Solvent,0.0557662656035767,1.32,0.008,10.1016/j.jct.2011.06.018
1389b1ad17a04bd28fffbd9418ff5b7e,298.15,101.0,2,CO,Solvent,0.9351180126541184,CCCCn1cc[n+](C)c1.[Cl-],Solvent,0.0648819873458816,1.415,0.0105,10.1016/j.jct.2011.06.018
cd3427adcad9403bb66914855e52b7ff,298.15,101.0,2,CO,Solvent,0.9059901115742512,CCCCn1cc[n+](C)c1.[Cl-],Solvent,0.0940098884257487,1.688,0.017,10.1016/j.jct.2011.06.018
22e1a0b96aa0425f9aa2715860553d83,298.15,101.0,2,CO,Solvent,0.8975919868786923,CCCCn1cc[n+](C)c1.[Cl-],Solvent,0.1024080131213076,1.78,0.0195,10.1016/j.jct.2011.06.018
66f765e1e98942acaff59c63a4a29c19,298.15,101.0,2,CO,Solvent,0.8919228347385948,CCCCn1cc[n+](C)c1.[Cl-],Solvent,0.1080771652614053,1.884,0.022,10.1016/j.jct.2011.06.018
9abc906985404f37830df765d9979768,298.15,101.0,2,CO,Solvent,0.836790081110458,CCCCn1cc[n+](C)c1.[Cl-],Solvent,0.1632099188895419,2.799,0.045,10.1016/j.jct.2011.06.018
a0b705b23ee94d3eb0fbcc121cdbbbf8,298.15,101.0,2,CO,Solvent,0.9959280893035076,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0040719106964922,0.835,0.004,10.1016/j.jct.2011.06.018
a415a7b1c2ec4f109a92cb60cefc52d9,298.15,101.0,2,CO,Solvent,0.9950580346306026,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0049419653693974,0.856,0.0035,10.1016/j.jct.2011.06.018
b3d889108672468ebc46256f94424ba1,298.15,101.0,2,CO,Solvent,0.992981147753378,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0070188522466219,0.854,0.0035,10.1016/j.jct.2011.06.018
48832259521c41bda86a5cff73e7a81a,298.15,101.0,2,CO,Solvent,0.992959032599635,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0070409674003651,0.859,0.0035,10.1016/j.jct.2011.06.018
77368ede001747f2acdb22984105b242,298.15,101.0,2,CO,Solvent,0.9902589284991852,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0097410715008147,0.894,0.0025,10.1016/j.jct.2011.06.018
b8d715cce64e4a859ab6344fec462209,298.15,101.0,2,CO,Solvent,0.9899605209289416,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0100394790710585,0.87,0.0035,10.1016/j.jct.2011.06.018
5ba6040e032f48ccb5714109fdb2a136,298.15,101.0,2,CO,Solvent,0.9873953727734056,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0126046272265946,0.906,0.0025,10.1016/j.jct.2011.06.018
265deabdef574d39beb29b20ed00739e,298.15,101.0,2,CO,Solvent,0.9865994119196524,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0134005880803477,0.904,0.0025,10.1016/j.jct.2011.06.018
e4c210f4bdcd45babd94ef6ba3d9f7aa,298.15,101.0,2,CO,Solvent,0.9827625515221132,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0172374484778867,0.936,0.0015,10.1016/j.jct.2011.06.018
ca52a069fdfe4ed788a42783c453dd38,298.15,101.0,2,CO,Solvent,0.9816991310000376,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0183008689999622,0.946,0.0015,10.1016/j.jct.2011.06.018
fabe01aaa4614c1ba5f1d549bd6e57b1,298.15,101.0,2,CO,Solvent,0.9765232949822916,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0234767050177083,0.999,0.0005,10.1016/j.jct.2011.06.018
a1e0b4ef4ab74b87aeec24f5c03e40d1,298.15,101.0,2,CO,Solvent,0.974632541999845,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.025367458000155,1.006,0.0005,10.1016/j.jct.2011.06.018
d475f84dbabb4c45b1b374522440825d,298.15,101.0,2,CO,Solvent,0.9685829330196546,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0314170669803454,1.052,0.0015,10.1016/j.jct.2011.06.018
0ca257b8236d409e9c8f316c1fbd60f6,298.15,101.0,2,CO,Solvent,0.9685228161645968,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0314771838354031,1.073,0.002,10.1016/j.jct.2011.06.018
ddd20b2c320d4c428a0e404822694d86,298.15,101.0,2,CO,Solvent,0.9630267805452803,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0369732194547197,1.099,0.0025,10.1016/j.jct.2011.06.018
f23b50d1389b40b89be8e70493d30e91,298.15,101.0,2,CO,Solvent,0.9540127850946192,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0459872149053808,1.182,0.0045,10.1016/j.jct.2011.06.018
8720c160572d4122a0c4aba7d1dbaeba,298.15,101.0,2,CO,Solvent,0.9430866991215282,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0569133008784718,1.292,0.0075,10.1016/j.jct.2011.06.018
c52fdff0bb1c42ed8b6fdab35cf7c0a2,298.15,101.0,2,CO,Solvent,0.9338700335606356,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0661299664393646,1.386,0.0095,10.1016/j.jct.2011.06.018
28bc603a3c4840bda5511ff079198be1,298.15,101.0,2,CO,Solvent,0.906158467021644,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.0938415329783559,1.692,0.0175,10.1016/j.jct.2011.06.018
53aee8375b2f413c9be8dd5adfcdfb38,298.15,101.0,2,CO,Solvent,0.8974267992327912,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.1025732007672087,1.776,0.0195,10.1016/j.jct.2011.06.018
00411fde2b074bcd91d316fd995a5a74,298.15,101.0,2,CO,Solvent,0.8912274933282403,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.1087725066717597,1.871,0.022,10.1016/j.jct.2011.06.018
5953d0cc95da45ffb84cac169808a0ca,298.15,101.0,2,CO,Solvent,0.8414421812291768,CCCCn1cc[n+](C)c1.[Br-],Solvent,0.1585578187708232,2.897,0.0475,10.1016/j.jct.2011.06.018
ed3c97e7e7f5427da0cbedc26ce9d995,298.15,101.0,2,NCCC(=O)O,Solvent,0.0025301397730067,O,Solvent,0.9974698602269932,0.9912,0.0002,10.1016/j.fluid.2014.02.004
f22c455fd18d4829871e9dbb49d753c2,298.15,101.0,2,NCCC(=O)O,Solvent,0.0044514989675681,O,Solvent,0.995548501032432,0.9892,0.00025,10.1016/j.fluid.2014.02.004
d1fce706b9864cbab650e663e28cdeb2,298.15,101.0,2,NCCC(=O)O,Solvent,0.0059989291991132,O,Solvent,0.9940010708008868,0.988,0.0003,10.1016/j.fluid.2014.02.004
