,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),Source
22,3a41efd8e43746448574cfbb15c00e94,293.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0223800000000003,0.0018750000000000004,10.1016/j.jct.2016.07.003
23,2a4b4780c15f4b62a67094ebad0419f5,293.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0246500000000003,0.0018800000000000004,10.1016/j.jct.2016.07.003
24,d276ebdc35c2430b864501e12a1a5a5f,293.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0269200000000003,0.0018800000000000004,10.1016/j.jct.2016.07.003
25,ab2f70db0c8d479f8cc80bb8cb070b08,293.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0289900000000003,0.0018850000000000004,10.1016/j.jct.2016.07.003
26,fc06d57402a142acb9d8753a5e7a60e0,293.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0311700000000004,0.0018850000000000004,10.1016/j.jct.2016.07.003
27,a83e1f9c54444964a29f566a3f543e03,293.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0332500000000002,0.0018900000000000004,10.1016/j.jct.2016.07.003
28,6b4a1729243d4bfab0ceaa1df8ac5910,293.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0352300000000003,0.0018900000000000004,10.1016/j.jct.2016.07.003
29,89e1b976c2ec4158a8ebd411668c5c1d,293.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0372500000000002,0.0018900000000000004,10.1016/j.jct.2016.07.003
30,991a6eebcf584ef294975167f7c45023,293.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.03912,0.0018900000000000004,10.1016/j.jct.2016.07.003
31,1c7796b9aeaa433e98b56a6865e699e4,298.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0161700000000002,0.0018700000000000006,10.1016/j.jct.2016.07.003
32,79285b0be8e046a7afb6b7abbbb50df2,298.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0187400000000002,0.0018700000000000006,10.1016/j.jct.2016.07.003
33,ba4ea7ead8f74a8185dbf7394d0ff7d0,298.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0210500000000002,0.0018750000000000004,10.1016/j.jct.2016.07.003
34,24baa864af3c4e98a076fda73e10dddf,298.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0232900000000003,0.0018750000000000004,10.1016/j.jct.2016.07.003
35,c0b1920983c54d0ba9e9a54a36163304,298.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0255000000000003,0.0018800000000000004,10.1016/j.jct.2016.07.003
36,4b4425e6f7e14eb8895c6872189ce584,298.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0275500000000002,0.0018800000000000004,10.1016/j.jct.2016.07.003
37,eed66d9f21e54704aea9d8f32b186f28,298.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0296900000000002,0.0018850000000000004,10.1016/j.jct.2016.07.003
38,6a52f3dd568b43df85a2e380ac9d5fc4,298.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0317500000000002,0.0018850000000000004,10.1016/j.jct.2016.07.003
39,70848f657f534526af0309aa1c5f6d70,298.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0337000000000003,0.0018850000000000004,10.1016/j.jct.2016.07.003
40,2ce83713252c4039a1614c49187cd5ec,298.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0357200000000002,0.0018900000000000004,10.1016/j.jct.2016.07.003
41,3746b2b67791469ba8cd3758dd86aee8,298.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0375800000000002,0.0018900000000000004,10.1016/j.jct.2016.07.003
42,78d79954632c447ea104fc97db873615,303.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0147200000000003,0.0018650000000000003,10.1016/j.jct.2016.07.003
43,b7842d6b5fe84674b1ccb4b6db3a79c5,303.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0172600000000003,0.0018700000000000006,10.1016/j.jct.2016.07.003
44,36979a1addc34a3b86dbae8c3bb6155f,303.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0195200000000002,0.0018700000000000006,10.1016/j.jct.2016.07.003
45,56ea57a0d6bc4b71b74b6d5739528fb2,303.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0217200000000002,0.0018750000000000004,10.1016/j.jct.2016.07.003
46,63e78945c80b4ecfbd2862c34632e283,303.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0238800000000003,0.0018750000000000004,10.1016/j.jct.2016.07.003
47,e288256fc1c14d2c8b315bfd2d7de8f9,303.15,87.0,Liquid,2,[Cl-].[Li+],Solvent,0.01500161129770543,,O,Solvent,0.9849983887022947,,1.0258800000000003,0.0018800000000000004,10.1016/j.jct.2016.07.003
