Mixture,Count
Cc1ccccc1N | c1ccncc1,18
C1COCCO1 | CCCCCC(C)=O,17
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CC(C)=O,13
CCCCCCCCC,1
C=CC | CC(=O)c1ccccc1,15
CO | CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
CC(C)=O | CCCO,21
COC=O | BrCCCBr,14
COC=O | CCCCCC,17
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCC(=O)CC,12
Cc1ccccc1N | Cc1ccccc1C,14
CCCCOCCCC | CCCCCCC,38
COC(C)(C)C | CCCO | CCCCCCCCC,44
COC(=O)OC | CCOC(=O)c1ccccc1,35
CCCCCCCCCCCCCCC | CCCCCOC(=O)CC,16
O=C1CCCC1 | CCCCCCCCC,16
CCCCCO | C=C(C)[C@H]1CC=C(C)CC1,16
CCCCCCCCCCCCCCC | CCCCOC(=O)CC,18
COC(C)(C)C | CCO | CCCCCCCCC,40
CCCOC(C)=O | CCCCCC,47
O=Cc1ccccc1 | CCCCCO,12
CCCC(=O)OCC | BrCCBr,18
CCc1ccccc1 | ClCCc1ccccc1,12
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,10
C1COCCO1 | Cc1ccccc1N | Cc1ccccc1,33
CCN(CC)CCCN | CCCCCCCCCCCC,12
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCCCn1cc[n+](C)c1.F[B-](F)(F)F,9
COC(C)(C)C | CC#CCCC,6
OCC(F)(F)F | O,33
O | O=S1(=O)CCCC1,20
CO | CC1CCCCC1,24
CCC(=O)OC | CCCCCCCCCCCCCCC,17
ClC(Cl)Cl | Nc1ccccc1,14
Cc1cccc(C)n1 | O,12
CCCCOC(C)=O | C1CCCCC1,11
CC(C)=O | Nc1ccccc1,10
Cc1ccccc1N | CCCCCCC,14
C1COCO1 | CCCC(C)=O,17
COC(C)(C)C | CCCO,19
ClCCCCCCl | CCCOC(C)=O,13
Cc1ccncc1 | O,12
C1COCCO1 | O=CO | Cl.N,10
CCCCOC=O | BrCCCBr,13
CS(C)=O | Brc1ccccc1,18
CCCO | c1ccccc1,38
C[C@@H](N)c1ccccc1 | C[C@H](N)c1ccccc1,37
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F | CCCCCC,13
CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCO,15
CC(=O)c1ccccc1 | CCOC(C)=O,33
CC(C)(C)O | CCCC(=O)OCC,33
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CCCCCC,13
C1CCOCC1 | CCCCCC,14
CC1(C)C(=O)[C@]2(C)CC[C@H]1C2 | CCCO,44
CCCOC(C)=O | CCCCCCCCCCCCCCCCC,19
C#CCCCC | COC(C)(C)C,10
CO | CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
CCOC(=O)C(C)C | CCO,22
CCCOC(C)=O | CCC#CCC,9
CCOC(=O)CC(=O)OCC | CCCCCO,114
CCCCCCCCO | CCCCCCC(C)=O,69
C=CCCCCCC | CCCCCCO,9
[Au] | [Fe] | [Pd],18
COC(=O)OC | CCCCCC,17
CS(C)=O | C1COCO1,17
BrCCCBr | CCCCOC(C)=O,12
CC(=O)OCCO | CC(=O)OCCOC(C)=O,7
CCCCCCCCCC(=O)OC | CCCCCCCCCCCCCC,19
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,18
Cc1cncc(C)c1 | Cc1ccccc1,7
C1COCCO1 | c1ccccc1 | Cc1ccccc1N,30
CC(=O)N(C)C | CO,19
CCOCCO | OCc1ccccc1,17
CN(C)CCO | CO,97
CCCC(C)=O | Nc1ccccc1,11
CCO | CCCCCCCCC,15
CCCCCOC(C)=O | CCCCCCCCCCCCCCCCC,15
CC(C)=O | CCN(CC)CC,9
C1CCCC1 | CCCCCO,10
C=CCCCC | CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,11
C1CCOCC1 | C1COCCN1,9
CO | O=CO,11
CC(C)(C)O | CCOC=O,35
CCCC[N+]1(C)CCCCC1.N#C[N-]C#N | O,36
CCCCOC(C)=O | Cc1cccc(C)c1,10
CCCC(C)C | CN(C)C=O,13
CO | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,15
O=C=O | CO,1
BrCCCBr | CCCCOC(=O)CCC,11
CC(=O)N(C)C | ClCCCCCl,24
CCO | CCOC(C)=O,62
OCCO | CCO,17
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1 | CCCCCCC,1
BrCCCCCBr | CCCCOC(C)=O,14
CC(C)OC(C)C | CCCCO,13
O | CCCC(=O)OC,44
CCC(=O)OC | BrCCCCCBr,18
ClCCCCCCl | CCCOC(=O)CCC,14
CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1 | C[N+](=O)[O-],9
CCOC(=O)OCC | CCO,15
CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-] | O,88
CCCOC=O | CCCCCCC,33
CCO | CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,44
BrCCCCCCBr | CCOC(C)=O,17
CCCC(=O)OCC | ClCCCCCCl,17
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCn1cc[n+](C)c1.F[B-](F)(F)F,18
CN1CCCC1=O | CCCCCCCCCl,23
BrCBr | CC(C)=O,10
ClCCCCCCCl | CCCOC=O,13
CCCC(=O)OCC | ClCCCCCl,16
C=CCCCC | CC(C)CC(C)(C)C,19
CCCCc1ccccc1 | ClCCc1ccccc1,15
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F | C1CCCCC1,19
C[C@@H]1COC(=O)O1 | C[C@H]1COC(=O)O1,76
CCCCCCC | CCO,24
O | COP(=O)([O-])OC.Cn1cc[n+](C)c1,5
CCCCOC(C)=O | c1ccccc1,10
C1CCOC1 | CC(C)C(C)C,20
[Br-].[Br-].[Br-].[Pr+3] | [Br-].[K+],19
CCOC(=O)C(=O)OCC | CC(C)O,76
CC(=O)CC(C)C | O,45
c1cc[nH]c1 | C1CCCCC1,64
CCC[N+](=O)[O-] | CCCCCCCCCCCC,7
COC=O | CCCCCCCCCC,18
CCCCOCCCC | CCCCO | CCCCCCC,72
C1CCOCC1 | Cc1cccnc1,18
Cc1cccc(O)c1 | CCO,4
CCC(=O)OC | BrCCCCBr,18
COP(=O)([O-])OC.Cn1cc[n+](C)c1,3
CCCCOCCCC | CCCCCCCCCCO,19
O | CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,8
CCCCCC[n+]1ccc2ccccc2c1.N#C[S-] | O,180
CC#N | c1ccccc1,11
CCC#N | ClC(Cl)(Cl)Cl,14
CCCOC(C)=O | CCCCCCCCC,30
BrCCCCBr | CCOC(C)=O,16
COC=O | BrCCCCCCBr,15
CCCCCCC(C)=O | CCCCCCCCCCCC,58
C1CCOCC1 | CCCC(C)=O,17
OCC(F)(F)F | CCO,29
c1ccncc1 | NCCO,130
O | CCn1cc[n+](C)c1.O=C([O-])C(F)(F)F,24
CN1CCCC1=O | C1CCCCC1,14
C1COCCO1 | CCCC(C)=O,17
Cc1cncc(C)c1 | CCCCCC,10
ClCCCl | CCCOC(=O)CCC,13
CNc1ccccc1 | CCCCCCC,9
Cc1ccccc1N | Cc1cccnc1,17
COC(C)=O | CCCC(=O)OC | CC(C)CC(C)(C)C,65
CCCC(=O)OC | BrCCCCCBr,12
