Mixture,Count
CCOC=O,34
COC(=O)OC | CCCCCCCCCC,60
CC#N,12
CCOC(=O)CC(=O)OCC,14
CCc1ccccc1,4
ClC[C@@H]1CO1,1
COc1ccccc1 | OCCCc1ccccc1,12
COC(C)(C)C | CCCCCCCC,128
C1CCOCC1 | CCCCCCCCO,11
C[C@H]1COC(=O)O1,1
CCOc1ccccc1 | OCCc1ccccc1,13
CCOC(=O)CC | ClCCCCCl,15
BrCCCCCCBr | CCOC=O,12
C[C@H](O)c1ccccc1,1
OCCOCCO | OCc1ccccc1,12
CCO | CC(C)CC(C)(C)C,11
COC(C)(C)C,8
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCCO,23
CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,9
CCCCOC(=O)CCC | ClCCCl,16
CCCCOC(C)=O,5
CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,28
C1CCOCC1 | O=C1CCCC1,26
CCOC(=O)OCC,5
ClC(Cl)=C(Cl)Cl,2
CCCCCCCOC,8
CCCCCCOCC,8
CO | CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,11
CCCOC=O | ClCCCCl,16
ClCCCCl | CCCOC(C)=O,15
ClCCCCCCl | CCCOC(C)=O,14
CCOc1ccccc1 | OCc1ccccc1,12
COC(C)=O | CCCC(=O)OC | CCCCCCCC,98
BrCCCCCCBr | CCCCOC(C)=O,14
COc1ccccc1 | OCc1ccccc1,12
COC(=O)OC | CCCCCCC,61
CCOC(C)=O | ClCCCCCCl,15
CO,47
ClCCCCl | CCCOC(=O)CC,15
COC(C)=O | CCCCC(=O)OC,17
OCC(F)(F)F | CO,17
CCCCCCCCCCCCCCCCC,1
O | COP(=O)([O-])OC.Cn1cc[n+](C)c1,24
CC(C)C(C)C,2
CO | CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,12
