Mixture,Count
CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1 | O=[N+]([O-])[O-].[Li+] | O,32
Cc1cccc(C)n1 | CO,10
CCCCC(=O)OCC | ClCCCCCCl,15
CCCOC(C)=O | CCCCC,32
CCCCCCCCCC | CCOC=O,64
CCCCn1cc[n+](C)c1.F[B-](F)(F)F | CCO,102
ClCCCCl | CCCOC(C)=O,15
C1CCOC1,7
CCCO | CC(C)CC(C)(C)C,13
CN(C)C=O,17
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CN(C)C=O,90
C1CCOCC1 | CCCO,9
CC(=O)C(C)=O,7
CCCCCO | CC(C)CC(C)(C)C,13
CCOC(=O)OCC | CCCCCCCCO,44
CCn1cc[n+](C)c1.N#C[S-] | O,96
CCCCOC=O | CCCCCCCC,76
CCn1cc[n+](C)c1.CS(=O)(=O)[O-],7
CCO,108
CCCCC(=O)OC | BrCCCCCBr,14
O | COP(=O)([O-])OC.Cn1cc[n+](C)c1,24
COC(C)=O | CCCCC(=O)OC | CC(C)CC(C)(C)C,80
OCCOCCO | OCc1ccccc1,12
O | CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],72
C1CCOCC1 | CCCCCO,11
CCn1cc[n+](C)c1.N#C[N-]C#N | O,94
CCCOC=O | CCCCCCCCC,76
C1CCOC1 | CCCCCCCCCCO,6
CCCCOC=O | ClCCCCCCl,30
CCCCOC(=O)CC | ClCCCCCCCl,14
CCn1cc[n+](C)c1.COS(=O)(=O)[O-],7
CCOC(=O)CC(C)=O,7
Cn1ccnc1 | CC(C)O,55
CCC(=O)OC | BrCCCBr,14
CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,11
BrCCCBr | CCOC(=O)CC,11
BrCCBr | CCCCOC(=O)CCC,13
CS(C)=O,16
CCCOC(=O)CCC,8
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCCO,23
CCOC(=O)CC | ClCCCCl,14
CCCCOC=O,35
CCCCC(=O)OC | CCCCCCCC,19
CCOCCO,4
ClCCCl | CCCOC(=O)CC,16
c1ccncc1,51
CCOC(=O)OCC | CCO,45
CCCCCCCCCC | CCCCOC=O,61
CCOC=O | ClCCCCCCCl,31
ClCCCc1ccccc1,1
Cn1ccnc1,31
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CCCCCO,7
O | CCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,66
COC=O | ClCCCl,16
CCCCCCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F | CO,120
BrCCCBr | CCCCOC(=O)CC,14
CCCCCC,52
CCCCCCCCCCO,2
COc1ccccc1,2
CCC(C)CC,3
CCCCOC(=O)CC | ClCCCCCCl,14
O | CC/C=C\CCO,35
c1ccncc1 | NCCO,36
Cc1ccccc1Cl | C1COCCO1,54
Cc1ccncc1 | O,12
OCCc1ccccc1,2
CCOC=O | CCCCCCCC,76
CCCOC(C)=O | CCCCCCCCC,64
CCOC(=O)CC | ClCCCCCCCl,13
CCCCCCCl,2
CCCCCCCC(=O)O,1
CCCCOC=O | CCCCCCC,76
CCCCOC(C)=O | ClCCCCl,13
CCCCc1ccccc1,1
C1CCOC1 | CCCCCCCCO,11
C1COCCO1 | CCCCCC(C)=O,17
CCCC(=O)OCC | BrCCCBr,12
C1CCOCC1 | O=C1CCCC1,26
ClC(Cl)Cl,8
ClCCCCCCl | CCCOC(=O)CC,13
C[C@@H]1COC(=O)O1,1
ClCCc1ccccc1,1
CCOC(C)(C)CC | CC#N,9
CCC(=O)OC | BrCCCCCBr,13
OCCOCCOCCO,4
CCCCOCCO,2
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F | CO,29
COC(C)(C)C | CCCCO | CCCCCCCC,195
CCCOC(=O)CC | CCCCCC | Cc1ccccc1,50
COC=O | BrCCCCCCBr,14
ClCCCl | CCCOC(C)=O,16
CCOC=O,34
COC=O | ClCCCCl,16
CNc1ccccc1,4
CCCCCCO,7
