Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Component 3,Role 3,Mole Fraction 3,Exact Amount 3,Density Value (g / ml),Density Uncertainty (g / ml),Source
93a4060de8124f029861247c17334df8,298.15,101.0,Liquid,2,COC=O,Solvent,0.8045,,ClCCCl,Solvent,0.1955,,,,,,1.0303200000000001,0.00019000000000000004,10.1016/j.jct.2006.10.008
79cfcafcb0b640838113c39febb2b9c9,298.15,101.0,Liquid,2,COC=O,Solvent,0.8548,,ClCCCl,Solvent,0.1452,,,,,,1.0144900000000003,0.00017500000000000003,10.1016/j.jct.2006.10.008
5f672c8e4c4542aeaa225484a919aee3,298.15,101.0,Liquid,2,COC=O,Solvent,0.9043,,ClCCCl,Solvent,0.09570000000000001,,,,,,0.9986000000000003,0.00016500000000000005,10.1016/j.jct.2006.10.008
8c044f80e6ca4127bf11c9d776ffff9f,298.15,101.0,Liquid,2,COC=O,Solvent,0.9525,,ClCCCl,Solvent,0.04749999999999999,,,,,,0.9827800000000002,0.00017000000000000004,10.1016/j.jct.2006.10.008
7eabb94d3b4d4ec48929fc25043cb718,298.15,101.0,Liquid,2,COC=O,Solvent,0.0849,,ClCCCCl,Solvent,0.9151,,,,,,1.1658500000000003,0.0003250000000000001,10.1016/j.jct.2006.10.008
33e1a78920ce40669850b11e14657132,298.15,101.0,Liquid,2,COC=O,Solvent,0.165,,ClCCCCl,Solvent,0.835,,,,,,1.1528100000000001,0.00031500000000000007,10.1016/j.jct.2006.10.008
3e380dd0dc354b388db7e585b82210a4,298.15,101.0,Liquid,2,COC=O,Solvent,0.244,,ClCCCCl,Solvent,0.756,,,,,,1.1395000000000002,0.0003000000000000001,10.1016/j.jct.2006.10.008
aea48e5d31cf42a2aec6da837c109f8a,298.15,101.0,Liquid,2,COC=O,Solvent,0.3177,,ClCCCCl,Solvent,0.6823,,,,,,1.1263300000000003,0.00028500000000000004,10.1016/j.jct.2006.10.008
b871c52d3c9f4ae997c50c7de8116b23,298.15,101.0,Liquid,2,COC=O,Solvent,0.386,,ClCCCCl,Solvent,0.614,,,,,,1.11356,0.00027500000000000007,10.1016/j.jct.2006.10.008
5f7d6f002617462bb24ac5c386b9a83c,298.15,101.0,Liquid,2,COC=O,Solvent,0.4563,,ClCCCCl,Solvent,0.5437000000000001,,,,,,1.0999000000000003,0.0002600000000000001,10.1016/j.jct.2006.10.008
