Mixture,Count
C1CCCCC1 | CC(C)O,3
CN1CCCC1=O | ClCCCCCl,3
CCC(C)=O | CCN(CC)CC,3
NCCO | c1ccncc1,3
CCOc1ccccc1 | OCCCc1ccccc1,3
O | OCCN(CCO)CCO,3
C1CCCCC1 | CN1CCCC1=O,3
CCOc1ccccc1 | OCc1ccccc1,3
CN(C)C=O | ClCCCl,3
CC(C)OC(C)C | Cc1ccccc1,3
C=CCCCC | CCCO,3
CO | COC=O,3
CCCCCC(C)=O | CCN(CC)CC,3
NCCNCCO | O,3
C1CCOCC1 | Cc1ccccc1C,3
CC(C)CO | CCCCBr,3
O | OCC(O)CO,3
CCCCCCCl | CN1CCCC1=O,3
CN(CCO)CCO | O,3
CCOC=O | ClCCCl,3
O | OCCNCCO,3
C1CCOCC1 | Cc1ccccn1,3
CCCCC(=O)OC | COC=O,3
CC(C)CC(C)(C)C | COC(C)=O,3
CCCCC(=O)OC | COC(C)=O,3
C1CCNCC1 | O,3
C1CCCCC1 | c1cc[nH]c1,3
BrCCBr | CCOC=O,3
CCCOC(=O)CC | Cc1ccccc1,3
CCCOC=O | ClCCCl,3
Cc1ccccc1N | c1ccncc1,3
CCC(C)(C)O | CCO,3
C=CCCCC | CCCCO,3
OCCO | CCCCO,1
C1CCOCC1 | c1ccccc1,3
C1COCCO1 | CCCCCC(C)=O,3
CCC(C)=O | CCCCO,3
C1CCOCC1 | CCO,3
CN1CCCC1=O | ClCCCl,3
CCC(C)=O | Nc1ccccc1,3
CCC(C)=O | CCCNCCC,3
CN(CCO)CCO | c1ccncc1,3
C1CCOCC1 | Cc1ccncc1,3
CC(C)CO | OC1=NCCC1,3
O | OCCN1CCOCC1,3
CCC(C)(C)O | CCOC(C)(C)CC,3
CCCO | O=Cc1ccccc1,3
C1CCOCC1 | CCCC(C)=O,3
CCCC(=O)OC | COC(C)=O,3
C1CCOCC1 | c1ccncc1,3
C1COCCN1 | O,3
CCCCCC(C)=O | CCCNCCC,3
C1CCOCC1 | Cc1ccccc1,3
CCOC(C)(C)C | Cc1ccccc1,3
c1cc[nH]c1 | c1ccccc1,3
Cc1ccccc1N | Cc1ccccn1,3
C1CCCCC1 | CCCCCCCC,3
OC1=NCCC1 | c1ccncc1,3
