Mixture,Temperature,Pressure,Count
CCCCC(=O)OC,298.15,100.0,9
CCCCC(=O)OC,298.15,101.325,9
COC=O | BrCCBr,298.15,101.0,14
COC=O | BrCCCBr,298.15,101.0,13
COC=O | BrCCCCBr,298.15,101.0,15
COC=O | BrCCCCCBr,298.15,101.0,15
COC=O | BrCCCCCCBr,298.15,101.0,14
COC(C)=O | BrCCBr,298.15,101.0,15
COC(C)=O | BrCCCBr,298.15,101.0,16
COC(C)=O | BrCCCCBr,298.15,101.0,14
COC(C)=O | BrCCCCCBr,298.15,101.0,14
COC(C)=O | BrCCCCCCBr,298.15,101.0,14
CCC(=O)OC | BrCCBr,298.15,101.0,15
CCC(=O)OC | BrCCCBr,298.15,101.0,14
CCC(=O)OC | BrCCCCBr,298.15,101.0,15
CCC(=O)OC | BrCCCCCBr,298.15,101.0,13
CCC(=O)OC | BrCCCCCCBr,298.15,101.0,16
CCCC(=O)OC | BrCCBr,298.15,101.0,15
CCCC(=O)OC | BrCCCBr,298.15,101.0,16
CCCC(=O)OC | BrCCCCBr,298.15,101.0,13
CCCC(=O)OC | BrCCCCCBr,298.15,101.0,13
CCCC(=O)OC | BrCCCCCCBr,298.15,101.0,14
CCCCC(=O)OC | BrCCBr,298.15,101.0,15
CCCCC(=O)OC | BrCCCBr,298.15,101.0,16
CCCCC(=O)OC | BrCCCCBr,298.15,101.0,12
CCCCC(=O)OC | BrCCCCCBr,298.15,101.0,14
CCCCC(=O)OC | BrCCCCCCBr,298.15,101.0,13
BrCCBr,295.15,101.325,1
BrCCCBr,295.15,101.325,1
BrCCCCBr,295.15,101.325,1
BrCCCCCBr,295.15,101.325,1
BrCCCCCCBr,295.15,101.325,1
BrCCBr | CCOC=O,298.15,101.0,15
BrCCCBr | CCOC=O,298.15,101.0,14
BrCCCCBr | CCOC=O,298.15,101.0,13
BrCCCCCBr | CCOC=O,298.15,101.0,10
BrCCCCCCBr | CCOC=O,298.15,101.0,12
BrCCCCCCBr | CCOC(C)=O,298.15,101.0,12
BrCCCCCBr | CCOC(C)=O,298.15,101.0,11
BrCCCCBr | CCOC(C)=O,298.15,101.0,14
BrCCCBr | CCOC(C)=O,298.15,101.0,14
BrCCBr | CCOC(C)=O,298.15,101.0,13
BrCCBr | CCOC(=O)CC,298.15,101.0,13
BrCCCBr | CCOC(=O)CC,298.15,101.0,11
BrCCCCBr | CCOC(=O)CC,298.15,101.0,12
BrCCCCCBr | CCOC(=O)CC,298.15,101.0,12
BrCCCCCCBr | CCOC(=O)CC,298.15,101.0,14
CCCC(=O)OCC | BrCCCCCCBr,298.15,101.0,12
CCCC(=O)OCC | BrCCCCCBr,298.15,101.0,13
CCCC(=O)OCC | BrCCCCBr,298.15,101.0,11
CCCC(=O)OCC | BrCCCBr,298.15,101.0,12
CCCC(=O)OCC | BrCCBr,298.15,101.0,13
CCCCC(=O)OCC | BrCCBr,298.15,101.0,12
CCCCC(=O)OCC | BrCCCBr,298.15,101.0,13
CCCCC(=O)OCC | BrCCCCBr,298.15,101.0,13
CCCCC(=O)OCC | BrCCCCCBr,298.15,101.0,15
CCCCC(=O)OCC | BrCCCCCCBr,298.15,101.0,12
CCCOC=O,291.15,101.0,40
CCCOC=O,318.15,101.32,40
CCCOC=O,308.15,101.0,40
CCCOC=O,318.15,101.325,40
CCCOC=O,298.15,101.0,40
CCCOC=O,318.15,101.0,40
CCCOC=O,291.15,101.325,40
CCCOC=O,303.15,101.325,40
CCCOC=O,298.15,101.325,40
CCCOC=O,291.15,101.32,40
CCCOC=O,308.15,101.32,40
CCCOC=O,298.15,101.32,40
CCCOC(=O)CCC,318.15,101.325,8
CCCOC(=O)CCC,298.15,101.0,8
CCCOC(=O)CCC,303.15,101.325,8
ClCCCl | CCCOC=O,298.15,101.0,15
ClCCCCl | CCCOC=O,298.15,101.0,14
ClCCCCCl | CCCOC=O,298.15,101.0,13
ClCCCCCCl | CCCOC=O,298.15,101.0,12
ClCCCCCCCl | CCCOC=O,298.15,101.0,13
ClCCCl | CCCOC(C)=O,298.15,101.0,16
ClCCCCl | CCCOC(C)=O,298.15,101.0,15
ClCCCCCl | CCCOC(C)=O,298.15,101.0,13
ClCCCCCCl | CCCOC(C)=O,298.15,101.0,14
ClCCCCCCCl | CCCOC(C)=O,298.15,101.0,12
ClCCCl | CCCOC(=O)CC,298.15,101.0,16
ClCCCCl | CCCOC(=O)CC,298.15,101.0,15
ClCCCCCl | CCCOC(=O)CC,298.15,101.0,15
ClCCCCCCl | CCCOC(=O)CC,298.15,101.0,13
ClCCCCCCCl | CCCOC(=O)CC,298.15,101.0,12
ClCCCl | CCCOC(=O)CCC,298.15,101.0,16
ClCCCCl | CCCOC(=O)CCC,298.15,101.0,15
ClCCCCCl | CCCOC(=O)CCC,298.15,101.0,11
ClCCCCCCl | CCCOC(=O)CCC,298.15,101.0,12
ClCCCCCCCl | CCCOC(=O)CCC,298.15,101.0,13
CCCCOC=O | BrCCBr,298.15,101.0,15
CCCCOC=O | BrCCCBr,298.15,101.0,13
CCCCOC=O | BrCCCCBr,298.15,101.0,13
CCCCOC=O | BrCCCCCBr,298.15,101.0,14
CCCCOC=O | BrCCCCCCBr,298.15,101.0,13
BrCCBr | CCCCOC(C)=O,298.15,101.0,16
BrCCCBr | CCCCOC(C)=O,298.15,101.0,15
BrCCCCBr | CCCCOC(C)=O,298.15,101.0,13
